Model,Accuracy,F1 Score
Hybrid (RF + XGB),0.7759103641456583,0.7783528792373808
Hybrid 4 (RF+XGB+LGBM),0.7759103641456583,0.7775554036983864
XGBoost,0.773109243697479,0.7756377790303142
Random Forest,0.7619047619047619,0.763971978410618
LightGBM,0.7563025210084033,0.7582807280004348
Hybrid 2 (AdaBoost+GB+ExtraTrees),0.7535014005602241,0.7544868555198283
Hybrid 3 (Blending+MetaLearning),0.7226890756302521,0.7242484762151853
Neural Network,0.7002801120448179,0.7024390996539713
Decision Tree,0.6834733893557423,0.6843263214586925
SVM,0.6526610644257703,0.6438576893179206
Logistic Regression,0.5266106442577031,0.5175995163170757
