Model,Accuracy,F1 Score
Hybrid 4 (RF+XGB+LGBM),0.9243697478991597,0.9250177203066022
Hybrid 2 (AdaBoost+GB+ExtraTrees),0.9187675070028011,0.9198567550824885
Hybrid 3 (Blending+MetaLearning),0.9159663865546218,0.9167959290785029
Random Forest,0.9131652661064426,0.9136009498383073
Hybrid (RF + XGB),0.9103641456582633,0.9111332656867303
LightGBM,0.907563025210084,0.9086029151171255
XGBoost,0.907563025210084,0.9083554046214035
Neural Network,0.8907563025210085,0.8903206303012594
SVM,0.8851540616246498,0.8843673601882609
Decision Tree,0.8067226890756303,0.804673242089867
Logistic Regression,0.7254901960784313,0.7218596813171485
